{x=6,m=309,a=1182,s=757}
{x=531,m=106,a=1009,s=142}
{x=3264,m=506,a=301,s=807}
{x=1197,m=394,a=351,s=1266}
{x=3009,m=1048,a=143,s=1549}
{x=617,m=1696,a=778,s=28}
{x=172,m=2243,a=1135,s=2330}
{x=309,m=457,a=1943,s=8}
{x=424,m=100,a=288,s=1745}
{x=282,m=138,a=2134,s=272}
{x=2982,m=2488,a=1452,s=3065}
{x=1760,m=2317,a=3608,s=119}
{x=682,m=303,a=1113,s=34}
{x=806,m=3417,a=720,s=1219}
{x=908,m=2564,a=1065,s=766}
{x=1044,m=70,a=511,s=1410}
{x=848,m=262,a=1100,s=778}
{x=1042,m=1887,a=2083,s=847}
{x=1051,m=1636,a=187,s=892}
{x=782,m=489,a=1940,s=18}
{x=33,m=1970,a=838,s=1123}
{x=20,m=2180,a=2036,s=1720}
{x=468,m=788,a=170,s=983}
{x=1893,m=1399,a=1661,s=1493}
{x=42,m=604,a=2889,s=219}
{x=109,m=56,a=1004,s=2498}
{x=1249,m=213,a=329,s=117}
{x=544,m=380,a=124,s=1479}
{x=1222,m=996,a=498,s=2270}
{x=38,m=228,a=59,s=1060}
{x=17,m=613,a=2060,s=1358}
{x=188,m=976,a=100,s=1415}
{x=965,m=641,a=1563,s=2718}
{x=867,m=386,a=1798,s=682}
{x=1596,m=350,a=143,s=167}
{x=390,m=2438,a=225,s=171}
{x=1014,m=1030,a=718,s=2678}
{x=473,m=2034,a=1270,s=449}
{x=2092,m=268,a=653,s=691}
{x=951,m=16,a=1869,s=2764}
{x=494,m=154,a=178,s=1323}
{x=2653,m=1230,a=238,s=787}
{x=922,m=1420,a=1390,s=2030}
{x=2958,m=2763,a=1486,s=2822}
{x=615,m=373,a=31,s=1548}
{x=1275,m=1486,a=2205,s=171}
{x=1,m=2571,a=234,s=1346}
{x=945,m=107,a=99,s=754}
{x=1398,m=1428,a=556,s=1724}
{x=693,m=3354,a=3,s=218}
{x=1706,m=39,a=1620,s=1403}
{x=465,m=408,a=2153,s=651}
{x=1026,m=794,a=340,s=920}
{x=1275,m=1806,a=120,s=599}
{x=78,m=1030,a=1601,s=1019}
{x=2442,m=1645,a=331,s=69}
{x=1797,m=480,a=479,s=1634}
{x=135,m=1838,a=216,s=1293}
{x=1914,m=1031,a=53,s=23}
{x=2862,m=303,a=883,s=537}
{x=60,m=192,a=109,s=1577}
{x=527,m=629,a=103,s=136}
{x=66,m=1861,a=135,s=1026}
{x=105,m=678,a=2551,s=495}
{x=2558,m=33,a=322,s=1359}
{x=2032,m=376,a=39,s=857}
{x=929,m=1035,a=174,s=2372}
{x=731,m=156,a=26,s=2512}
{x=1120,m=880,a=500,s=1070}
{x=845,m=108,a=1492,s=1340}
{x=2460,m=2527,a=1057,s=1382}
{x=390,m=942,a=953,s=402}
{x=557,m=440,a=335,s=426}
{x=1850,m=3068,a=1956,s=258}
{x=351,m=296,a=222,s=181}
{x=27,m=389,a=650,s=999}
{x=1941,m=3377,a=1600,s=1377}
{x=62,m=2099,a=9,s=25}
{x=34,m=658,a=215,s=32}
{x=1408,m=989,a=54,s=560}
{x=969,m=431,a=634,s=856}
{x=75,m=678,a=1523,s=157}
{x=1087,m=837,a=763,s=118}
{x=112,m=904,a=3317,s=313}
{x=2163,m=1100,a=271,s=882}
{x=474,m=289,a=305,s=197}
{x=1307,m=2741,a=279,s=1550}
{x=1109,m=629,a=1600,s=298}
{x=868,m=815,a=2970,s=21}
{x=1850,m=285,a=1158,s=373}
{x=1430,m=1078,a=226,s=2374}
{x=296,m=413,a=1609,s=1099}
{x=11,m=3105,a=505,s=2170}
{x=2126,m=1961,a=389,s=1087}
{x=592,m=1842,a=1991,s=1083}
{x=93,m=1662,a=1840,s=2377}
{x=433,m=30,a=1269,s=857}
{x=1898,m=662,a=861,s=1131}
{x=2484,m=278,a=1782,s=134}
{x=102,m=1146,a=3527,s=2090}
{x=2530,m=727,a=1577,s=211}
{x=316,m=2957,a=18,s=730}
{x=492,m=183,a=624,s=1454}
{x=3325,m=30,a=1660,s=938}
{x=407,m=1854,a=99,s=326}
{x=1336,m=1276,a=473,s=24}
{x=1718,m=438,a=956,s=384}
{x=353,m=1534,a=2180,s=2974}
{x=2705,m=211,a=94,s=837}
{x=104,m=123,a=413,s=1789}
{x=176,m=395,a=2652,s=50}
{x=738,m=1018,a=103,s=200}
{x=750,m=31,a=916,s=121}
{x=2967,m=1253,a=1593,s=1357}
{x=262,m=112,a=131,s=63}
{x=145,m=807,a=291,s=959}
{x=1476,m=239,a=1054,s=3491}
{x=428,m=351,a=2465,s=65}
{x=35,m=236,a=863,s=1089}
{x=1233,m=2010,a=177,s=764}
{x=1083,m=1863,a=25,s=1974}
{x=957,m=1180,a=837,s=679}
{x=66,m=1204,a=285,s=2075}
{x=444,m=560,a=172,s=1447}
{x=812,m=350,a=876,s=661}
{x=200,m=366,a=752,s=851}
{x=749,m=377,a=815,s=648}
{x=60,m=285,a=517,s=39}
{x=2921,m=381,a=119,s=249}
{x=466,m=1290,a=801,s=2159}
{x=62,m=201,a=881,s=95}
{x=3598,m=126,a=1688,s=979}
{x=2963,m=1112,a=2733,s=520}
{x=62,m=1067,a=920,s=451}
{x=2501,m=475,a=1074,s=1150}
{x=50,m=1111,a=12,s=44}
{x=617,m=1106,a=1489,s=1333}
{x=90,m=208,a=219,s=2352}
{x=1179,m=2166,a=1693,s=2055}
{x=61,m=595,a=1382,s=1140}
{x=62,m=354,a=123,s=793}
{x=436,m=865,a=2408,s=2578}
{x=515,m=398,a=303,s=312}
{x=637,m=2236,a=474,s=148}
{x=2488,m=35,a=75,s=924}
{x=461,m=1196,a=7,s=1092}
{x=923,m=3184,a=1161,s=308}
{x=191,m=1399,a=1324,s=2784}
{x=170,m=421,a=51,s=625}
{x=170,m=362,a=471,s=2100}
{x=289,m=66,a=143,s=284}
{x=542,m=339,a=455,s=54}
{x=155,m=124,a=732,s=2057}
{x=8,m=420,a=784,s=1455}
{x=479,m=251,a=1883,s=136}
